device_id,cpu,cpu_best,cpu_level,cpu_desc,ram,ram_best,ram_level,ram_desc,screen,screen_best,screen_level,screen_desc,res_ratio,res_ratio_best,res_ratio_level,res_ratio_desc,weight,weight_level,weight_best,weight_desc
1409243,,,,,32GB（16GB×2）,"",96.07,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.9Kg,3.07,"",""
1409268,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,13.4英寸,"",7.21,13.4移动、办公,1920x1200,"",48.44,全高清屏,1.3Kg,88.18,"",""
1409269,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,13.4英寸,"",7.21,13.4移动、办公,1920x1200,"",48.44,全高清屏,1.3Kg,88.18,"",""
1409363,3.3GHz,"",91.81,"",64GB（32GB×2）,"",99.79,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.6Kg,6.28,"",""
1410091,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2520x1680,"",84.92,超高清屏,1.99Kg,26.17,"",""
1410099,2.5GHz,"",62.13,"",32GB,"",96.07,极速运行,14.5英寸,"",42.93,14.5游戏、便捷,2880x1800,"",92.58,超高清屏,1.79Kg,39.37,"",""
1410112,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.4Kg,76.4,"",""
1410113,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",92.58,全高清屏,1.4Kg,76.4,"",""
1410125,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",1920x1080,"",42.46,全高清屏,1.7Kg,44.48,"",""
1410132,2GHz,"",32.89,"",16GB（8GB×2）,"",75.3,极速运行,13.3英寸,"",6.55,13.3移动、办公,2560x1600,"",83.33,超高清屏,960g,97.92,"",""
1410206,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.4Kg,12.2,"",""
1410234,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.4Kg,12.2,"",""
1410292,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.69Kg,47.2,"",""
1410308,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1600,"",83.33,超高清屏,1.2Kg,93.12,"",""
1410309,2.1GHz,"",39.34,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1600,"",83.33,超高清屏,1.2Kg,93.12,"",""
1410314,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2520x1680,"",84.92,超高清屏,1.99Kg,26.17,"",""
1410315,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2520x1680,"",84.92,超高清屏,1.99Kg,26.17,"",""
1410316,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",1920x1200,"",48.44,全高清屏,1.7Kg,44.48,"",""
1410317,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",1920x1200,"",48.44,全高清屏,1.7Kg,44.48,"",""
1410318,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.49Kg,68.43,"",""
1410319,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.49Kg,68.43,"",""
1410321,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1410322,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1410325,2.5GHz,"",62.13,"",32GB（16GB×2）,"",96.07,极速运行,16英寸,"",91.33,"",3840x2400,"",100,超高清屏,2.4Kg,12.2,"",""
1410326,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,13.3英寸,"",6.55,13.3移动、办公,2880x1800,"",92.58,超高清屏,,,,
1410327,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,13.3英寸,"",6.55,13.3移动、办公,2880x1800,"",92.58,超高清屏,,,,
1410328,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.3Kg,88.18,"",""
1410330,1.1GHz,"",3.74,"",8GB,"",12.1,游戏流畅,13.3英寸,"",6.55,13.3移动、办公,1920x1080,"",42.46,全高清屏,785g,99.26,"",""
1410488,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.37Kg,85.11,"",""
1410597,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,14.5英寸,"",42.93,14.5游戏、便捷,3072x1920,"",94.88,超高清屏,1.52Kg,63.53,"",""
1410603,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.93Kg,28.22,"",""
1410621,3.3GHz,"",91.81,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1600,"",83.33,超高清屏,1.45Kg,73.23,"",""
1410622,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1600,"",83.33,超高清屏,1.45Kg,73.23,"",""
1410624,3.3GHz,"",91.81,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,3200x2000,"",96.62,超高清屏,1.8Kg,33.58,"",""
1410625,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,3200x2000,"",96.62,超高清屏,1.8Kg,33.58,"",""
1410626,3.3GHz,"",91.81,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,3200x2000,"",96.62,超高清屏,1.8Kg,33.58,"",""
1410627,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,3200x2000,"",96.62,超高清屏,1.8Kg,33.58,"",""
1411612,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.68Kg,47.69,"",""
1411948,2.3GHz,"",46.77,"",16GB（8GB×2）,"",75.3,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.5Kg,8.89,"",""
1412025,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,14.5英寸,"",42.93,14.5游戏、便捷,3072x1920,"",94.88,超高清屏,1.52Kg,63.53,"",""
1412042,2.3GHz,"",46.77,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.17Kg,94.36,"",""
1412507,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1412508,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1412509,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1412510,2.7GHz,"",77.04,"",32GB,"",96.07,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1412511,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1412659,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.8Kg,33.58,"",""
1412660,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.8Kg,33.58,"",""
1412661,2.7GHz,"",77.04,"",32GB,"",96.07,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.8Kg,33.58,"",""
1412662,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.8Kg,33.58,"",""
1412740,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",3072x1920,"",94.88,超高清屏,2.05Kg,22.93,"",""
1412741,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",3072x1920,"",94.88,超高清屏,2.05Kg,22.93,"",""
1412810,,,,,8GB,"",12.1,游戏流畅,13.6英寸,"",8.23,13.6移动、办公,2560x1664,"",84.29,超高清屏,1.24Kg,91.68,"",""
1412814,,,,,8GB,"",12.1,游戏流畅,13.3英寸,"",6.55,13.3移动、办公,2560x1600,"",83.33,超高清屏,1.38Kg,83.14,"",""
1413199,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,13.3英寸,"",6.55,13.3移动、办公,1920x1200,"",48.44,全高清屏,1.29Kg,88.96,"",""
1413293,3.11GHz,"",84.69,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.58Kg,6.91,"",""
1413294,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.58Kg,6.91,"",""
1413295,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.58Kg,6.91,"",""
1413296,2.5GHz,"",62.13,"",32GB,"",96.07,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.58Kg,6.91,"",""
1413297,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.58Kg,6.91,"",""
1413413,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413414,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413415,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413416,2GHz,"",32.89,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413417,2GHz,"",32.89,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413418,2GHz,"",32.89,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413424,2GHz,"",32.89,"",8GB,"",12.1,游戏流畅,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413425,2GHz,"",32.89,"",8GB,"",12.1,游戏流畅,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.99Kg,26.17,"",""
1413705,1.6GHz,"",13.44,"",8GB（8GB×1）,"",12.1,游戏流畅,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.36Kg,86.17,"",""
1413767,3.3GHz,"",91.81,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.37Kg,14.46,"",""
1413768,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.37Kg,14.46,"",""
1413807,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.55Kg,8.01,"",""
1413808,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.55Kg,8.01,"",""
1413823,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.37Kg,14.46,"",""
1413824,3.3GHz,"",91.81,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.37Kg,14.46,"",""
1413851,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1660,"",83.81,超高清屏,2.4Kg,12.2,"",""
1413852,2.5GHz,"",62.13,"",32GB,"",96.07,极速运行,16英寸,"",91.33,"",2560x1660,"",83.81,超高清屏,2.4Kg,12.2,"",""
1413871,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1413872,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1413873,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1413916,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1413917,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1413918,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,2560x1440,"",60.17,超高清屏,2.4Kg,12.2,"",""
1414427,2.5GHz,"",62.13,"",32GB（16GB×2）,"",96.07,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.58Kg,6.91,"",""
1414428,2.7GHz,"",77.04,"",32GB（16GB×2）,"",96.07,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.58Kg,6.91,"",""
1414429,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.58Kg,6.91,"",""
1414464,2.7GHz,"",77.04,"",32GB（16GB×2）,"",96.07,极速运行,17.3英寸,"",98.89,"",1920x1080,"",42.46,全高清屏,3.09Kg,2.33,"",""
1414466,2.5GHz,"",62.13,"",32GB（16GB×2）,"",96.07,极速运行,17.3英寸,"",98.89,"",3840x2160,"",98.29,超高清屏,3.09Kg,2.33,"",""
1414467,2.5GHz,"",62.13,"",64GB（32GB×2）,"",99.79,极速运行,17.3英寸,"",98.89,"",3840x2160,"",98.29,超高清屏,3.09Kg,2.33,"",""
1414842,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.6Kg,53.76,"",""
1415415,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1415416,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1415417,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.4Kg,76.4,"",""
1415431,2.9GHz,"",81.53,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",1920x1200,"",48.44,全高清屏,1.9Kg,29.21,"",""
1415726,1.1GHz,"",3.74,"",16GB,"",75.3,极速运行,13.4英寸,"",7.21,13.4移动、办公,3840x2400,"",100,超高清屏,1.17Kg,94.36,"",""
1415735,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.4Kg,76.4,"",""
1415737,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",92.58,全高清屏,1.4Kg,76.4,"",""
1415744,2.1GHz,"",39.34,"",32GB,"",96.07,极速运行,13.4英寸,"",7.21,13.4移动、办公,3840x2160,"",98.29,超高清屏,1.26Kg,90.16,"",""
1415889,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.5Kg,64.2,"",""
1415912,,,,,64GB,"",99.79,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,2.9Kg,3.07,"",""
1415917,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.47Kg,70.37,"",""
1415920,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.45Kg,11.32,"",""
1415921,3.2GHz,"",90.25,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",1920x1200,"",48.44,全高清屏,2.45Kg,11.32,"",""
1416066,3.2GHz,"",90.25,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.35Kg,86.95,"",""
